Date : 2024-02-02 15:29:34
Directory : c:\Users\acer\workspace1\langtube\packages\readability
Total : 482 files,  -12938 codes, -3390 comments, -3115 blanks, all -19443 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| ..\sized_button\macos\Flutter                                                                                                                         |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\sized_button\macos\Flutter (Files)                                                                                                                 |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\sized_button\macos\Flutter\ephemeral                                                                                                               |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\sized_button\test                                                                                                                                  |          1 |          0 |          0 |         -2 |         -2 |
| ..\sized_button\windows                                                                                                                               |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\sized_button\windows\flutter                                                                                                                       |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\subtitles_parser                                                                                                                                   |         62 |     -2,067 |       -377 |       -448 |     -2,892 |
| ..\subtitles_parser (Files)                                                                                                                           |          5 |       -101 |        -47 |        -41 |       -189 |
| ..\subtitles_parser\android                                                                                                                           |          4 |        -42 |        -33 |        -18 |        -93 |
| ..\subtitles_parser\android (Files)                                                                                                                   |          3 |        -39 |        -33 |        -17 |        -89 |
| ..\subtitles_parser\android\src                                                                                                                       |          1 |         -3 |          0 |         -1 |         -4 |
| ..\subtitles_parser\android\src\main                                                                                                                  |          1 |         -3 |          0 |         -1 |         -4 |
| ..\subtitles_parser\example                                                                                                                           |         34 |       -927 |       -236 |       -224 |     -1,387 |
| ..\subtitles_parser\example (Files)                                                                                                                   |          3 |        -31 |        -87 |        -26 |       -144 |
| ..\subtitles_parser\example\android                                                                                                                   |         12 |       -161 |        -51 |        -33 |       -245 |
| ..\subtitles_parser\example\android (Files)                                                                                                           |          3 |        -46 |          0 |        -11 |        -57 |
| ..\subtitles_parser\example\android\app                                                                                                               |          8 |       -110 |        -51 |        -21 |       -182 |
| ..\subtitles_parser\example\android\app (Files)                                                                                                       |          1 |        -51 |         -5 |        -12 |        -68 |
| ..\subtitles_parser\example\android\app\src                                                                                                           |          7 |        -59 |        -46 |         -9 |       -114 |
| ..\subtitles_parser\example\android\app\src\debug                                                                                                     |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\subtitles_parser\example\android\app\src\main                                                                                                      |          5 |        -53 |        -38 |         -7 |        -98 |
| ..\subtitles_parser\example\android\app\src\main (Files)                                                                                              |          1 |        -27 |         -6 |         -1 |        -34 |
| ..\subtitles_parser\example\android\app\src\main\res                                                                                                  |          4 |        -26 |        -32 |         -6 |        -64 |
| ..\subtitles_parser\example\android\app\src\main\res\drawable                                                                                         |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\subtitles_parser\example\android\app\src\main\res\drawable-v21                                                                                     |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\subtitles_parser\example\android\app\src\main\res\values                                                                                           |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\subtitles_parser\example\android\app\src\main\res\values-night                                                                                     |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\subtitles_parser\example\android\app\src\profile                                                                                                   |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\subtitles_parser\example\android\gradle                                                                                                            |          1 |         -5 |          0 |         -1 |         -6 |
| ..\subtitles_parser\example\android\gradle\wrapper                                                                                                    |          1 |         -5 |          0 |         -1 |         -6 |
| ..\subtitles_parser\example\ios                                                                                                                       |          8 |       -229 |         -4 |        -13 |       -246 |
| ..\subtitles_parser\example\ios\Runner                                                                                                                |          7 |       -222 |         -2 |         -9 |       -233 |
| ..\subtitles_parser\example\ios\Runner (Files)                                                                                                        |          2 |        -13 |          0 |         -3 |        -16 |
| ..\subtitles_parser\example\ios\RunnerTests                                                                                                           |          1 |         -7 |         -2 |         -4 |        -13 |
| ..\subtitles_parser\example\ios\Runner\Assets.xcassets                                                                                                |          3 |       -148 |          0 |         -4 |       -152 |
| ..\subtitles_parser\example\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                             |          1 |       -122 |          0 |         -1 |       -123 |
| ..\subtitles_parser\example\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                           |          2 |        -26 |          0 |         -3 |        -29 |
| ..\subtitles_parser\example\ios\Runner\Base.lproj                                                                                                     |          2 |        -61 |         -2 |         -2 |        -65 |
| ..\subtitles_parser\example\lib                                                                                                                       |          1 |        -70 |          0 |         -9 |        -79 |
| ..\subtitles_parser\example\windows                                                                                                                   |         10 |       -436 |        -94 |       -143 |       -673 |
| ..\subtitles_parser\example\windows\flutter                                                                                                           |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\subtitles_parser\example\windows\runner                                                                                                            |          8 |       -428 |        -85 |       -132 |       -645 |
| ..\subtitles_parser\ios                                                                                                                               |          2 |        -18 |        -11 |         -4 |        -33 |
| ..\subtitles_parser\ios (Files)                                                                                                                       |          1 |        -17 |         -9 |         -3 |        -29 |
| ..\subtitles_parser\ios\Classes                                                                                                                       |          1 |         -1 |         -2 |         -1 |         -4 |
| ..\subtitles_parser\lib                                                                                                                               |          7 |       -329 |        -24 |        -85 |       -438 |
| ..\subtitles_parser\lib (Files)                                                                                                                       |          1 |         -2 |          0 |         -1 |         -3 |
| ..\subtitles_parser\lib\src                                                                                                                           |          6 |       -327 |        -24 |        -84 |       -435 |
| ..\subtitles_parser\lib\src (Files)                                                                                                                   |          2 |        -27 |          0 |         -7 |        -34 |
| ..\subtitles_parser\lib\src\rust_bridge                                                                                                               |          4 |       -300 |        -24 |        -77 |       -401 |
| ..\subtitles_parser\rust                                                                                                                              |          7 |       -270 |        -18 |        -58 |       -346 |
| ..\subtitles_parser\rust\src                                                                                                                          |          7 |       -270 |        -18 |        -58 |       -346 |
| ..\subtitles_parser\rust\src (Files)                                                                                                                  |          4 |       -194 |        -18 |        -45 |       -257 |
| ..\subtitles_parser\rust\src\api                                                                                                                      |          3 |        -76 |          0 |        -13 |        -89 |
| ..\subtitles_parser\test                                                                                                                              |          3 |       -380 |         -8 |        -18 |       -406 |
| ..\subtitles_parser\test (Files)                                                                                                                      |          2 |       -374 |         -8 |        -13 |       -395 |
| ..\subtitles_parser\test\test_rust_bridge                                                                                                             |          1 |         -6 |          0 |         -5 |        -11 |
| ..\subtitles_player                                                                                                                                   |         20 |       -292 |       -112 |       -106 |       -510 |
| ..\subtitles_player (Files)                                                                                                                           |          4 |        -36 |        -46 |        -23 |       -105 |
| ..\subtitles_player\android                                                                                                                           |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\subtitles_player\android (Files)                                                                                                                   |          1 |         -2 |          0 |          0 |         -2 |
| ..\subtitles_player\android\app                                                                                                                       |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\subtitles_player\android\app\src                                                                                                                   |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\subtitles_player\android\app\src\main                                                                                                              |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\subtitles_player\android\app\src\main\java                                                                                                         |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\subtitles_player\android\app\src\main\java\io                                                                                                      |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\subtitles_player\android\app\src\main\java\io\flutter                                                                                              |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\subtitles_player\android\app\src\main\java\io\flutter\plugins                                                                                      |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\subtitles_player\ios                                                                                                                               |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\subtitles_player\ios\Flutter                                                                                                                       |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\subtitles_player\ios\Runner                                                                                                                        |          2 |        -14 |         -8 |        -13 |        -35 |
| ..\subtitles_player\lib                                                                                                                               |          4 |       -119 |        -17 |        -25 |       -161 |
| ..\subtitles_player\lib (Files)                                                                                                                       |          1 |         -4 |          0 |         -2 |         -6 |
| ..\subtitles_player\lib\src                                                                                                                           |          3 |       -115 |        -17 |        -23 |       -155 |
| ..\subtitles_player\lib\src (Files)                                                                                                                   |          1 |        -21 |          0 |         -3 |        -24 |
| ..\subtitles_player\lib\src\models                                                                                                                    |          1 |        -52 |         -1 |        -13 |        -66 |
| ..\subtitles_player\lib\src\utils                                                                                                                     |          1 |        -42 |        -16 |         -7 |        -65 |
| ..\subtitles_player\linux                                                                                                                             |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\subtitles_player\linux\flutter                                                                                                                     |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\subtitles_player\macos                                                                                                                             |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\subtitles_player\macos\Flutter                                                                                                                     |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\subtitles_player\macos\Flutter (Files)                                                                                                             |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\subtitles_player\macos\Flutter\ephemeral                                                                                                           |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\subtitles_player\test                                                                                                                              |          1 |        -63 |        -13 |        -13 |        -89 |
| ..\subtitles_player\windows                                                                                                                           |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\subtitles_player\windows\flutter                                                                                                                   |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\tapster                                                                                                                                            |         10 |       -185 |        -46 |        -51 |       -282 |
| ..\tapster (Files)                                                                                                                                    |          4 |        -37 |        -46 |        -23 |       -106 |
| ..\tapster\lib                                                                                                                                        |          5 |       -116 |          0 |        -23 |       -139 |
| ..\tapster\lib (Files)                                                                                                                                |          1 |         -3 |          0 |         -2 |         -5 |
| ..\tapster\lib\src                                                                                                                                    |          4 |       -113 |          0 |        -21 |       -134 |
| ..\tapster\test                                                                                                                                       |          1 |        -32 |          0 |         -5 |        -37 |
| ..\throttler                                                                                                                                          |         17 |       -244 |       -111 |        -99 |       -454 |
| ..\throttler (Files)                                                                                                                                  |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\throttler\android                                                                                                                                  |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\throttler\android (Files)                                                                                                                          |          1 |         -2 |          0 |          0 |         -2 |
| ..\throttler\android\app                                                                                                                              |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\throttler\android\app\src                                                                                                                          |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\throttler\android\app\src\main                                                                                                                     |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\throttler\android\app\src\main\java                                                                                                                |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\throttler\android\app\src\main\java\io                                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\throttler\android\app\src\main\java\io\flutter                                                                                                     |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\throttler\android\app\src\main\java\io\flutter\plugins                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\throttler\ios                                                                                                                                      |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\throttler\ios\Flutter                                                                                                                              |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\throttler\ios\Runner                                                                                                                               |          2 |        -14 |         -8 |        -13 |        -35 |
| ..\throttler\lib                                                                                                                                      |          1 |        -56 |        -19 |        -14 |        -89 |
| ..\throttler\linux                                                                                                                                    |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\throttler\linux\flutter                                                                                                                            |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\throttler\macos                                                                                                                                    |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\throttler\macos\Flutter                                                                                                                            |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\throttler\macos\Flutter (Files)                                                                                                                    |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\throttler\macos\Flutter\ephemeral                                                                                                                  |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\throttler\test                                                                                                                                     |          1 |        -79 |        -10 |        -17 |       -106 |
| ..\throttler\windows                                                                                                                                  |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\throttler\windows\flutter                                                                                                                          |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\unique_key_mutex                                                                                                                                   |          6 |        -76 |        -58 |        -37 |       -171 |
| ..\unique_key_mutex (Files)                                                                                                                           |          4 |        -36 |        -46 |        -23 |       -105 |
| ..\unique_key_mutex\lib                                                                                                                               |          1 |        -21 |        -11 |        -10 |        -42 |
| ..\unique_key_mutex\test                                                                                                                              |          1 |        -19 |         -1 |         -4 |        -24 |
| ..\user_agent                                                                                                                                         |          7 |        -92 |        -46 |        -34 |       -172 |
| ..\user_agent (Files)                                                                                                                                 |          4 |        -36 |        -46 |        -23 |       -105 |
| ..\user_agent\lib                                                                                                                                     |          3 |        -56 |          0 |        -11 |        -67 |
| ..\user_agent\lib (Files)                                                                                                                             |          1 |         -2 |          0 |         -2 |         -4 |
| ..\user_agent\lib\src                                                                                                                                 |          2 |        -54 |          0 |         -9 |        -63 |
| ..\value_notifier_transformer                                                                                                                         |         18 |       -218 |       -114 |       -109 |       -441 |
| ..\value_notifier_transformer (Files)                                                                                                                 |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\value_notifier_transformer\android                                                                                                                 |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\value_notifier_transformer\android (Files)                                                                                                         |          1 |         -2 |          0 |          0 |         -2 |
| ..\value_notifier_transformer\android\app                                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\value_notifier_transformer\android\app\src                                                                                                         |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\value_notifier_transformer\android\app\src\main                                                                                                    |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\value_notifier_transformer\android\app\src\main\java                                                                                               |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\value_notifier_transformer\android\app\src\main\java\io                                                                                            |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\value_notifier_transformer\android\app\src\main\java\io\flutter                                                                                    |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\value_notifier_transformer\android\app\src\main\java\io\flutter\plugins                                                                            |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\value_notifier_transformer\ios                                                                                                                     |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\value_notifier_transformer\ios\Flutter                                                                                                             |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\value_notifier_transformer\ios\Runner                                                                                                              |          2 |        -14 |         -8 |        -13 |        -35 |
| ..\value_notifier_transformer\lib                                                                                                                     |          2 |        -82 |        -18 |        -28 |       -128 |
| ..\value_notifier_transformer\lib (Files)                                                                                                             |          1 |         -2 |          0 |         -2 |         -4 |
| ..\value_notifier_transformer\lib\src                                                                                                                 |          1 |        -80 |        -18 |        -26 |       -124 |
| ..\value_notifier_transformer\linux                                                                                                                   |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\value_notifier_transformer\linux\flutter                                                                                                           |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\value_notifier_transformer\macos                                                                                                                   |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\value_notifier_transformer\macos\Flutter                                                                                                           |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\value_notifier_transformer\macos\Flutter (Files)                                                                                                   |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\value_notifier_transformer\macos\Flutter\ephemeral                                                                                                 |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\value_notifier_transformer\test                                                                                                                    |          1 |        -27 |        -14 |        -13 |        -54 |
| ..\value_notifier_transformer\windows                                                                                                                 |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\value_notifier_transformer\windows\flutter                                                                                                         |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\word_listenable_webview                                                                                                                            |         14 |       -635 |        -68 |       -127 |       -830 |
| ..\word_listenable_webview (Files)                                                                                                                    |          4 |        -40 |        -43 |        -23 |       -106 |
| ..\word_listenable_webview\lib                                                                                                                        |          5 |       -343 |         -6 |        -50 |       -399 |
| ..\word_listenable_webview\lib (Files)                                                                                                                |          1 |         -3 |          0 |         -2 |         -5 |
| ..\word_listenable_webview\lib\src                                                                                                                    |          4 |       -340 |         -6 |        -48 |       -394 |
| ..\word_listenable_webview\test                                                                                                                       |          1 |          0 |          0 |         -2 |         -2 |
| ..\word_listenable_webview\web_assets                                                                                                                 |          4 |       -252 |        -19 |        -52 |       -323 |
| ..\youtube_player_flutter                                                                                                                             |         55 |     -3,643 |       -403 |       -524 |     -4,570 |
| ..\youtube_player_flutter (Files)                                                                                                                     |          3 |       -349 |          0 |        -89 |       -438 |
| ..\youtube_player_flutter\example                                                                                                                     |         28 |       -965 |        -47 |        -94 |     -1,106 |
| ..\youtube_player_flutter\example (Files)                                                                                                             |          2 |        -49 |          0 |        -13 |        -62 |
| ..\youtube_player_flutter\example\android                                                                                                             |         13 |       -174 |        -30 |        -32 |       -236 |
| ..\youtube_player_flutter\example\android (Files)                                                                                                     |          4 |        -45 |          0 |        -10 |        -55 |
| ..\youtube_player_flutter\example\android\app                                                                                                         |          8 |       -124 |        -29 |        -21 |       -174 |
| ..\youtube_player_flutter\example\android\app (Files)                                                                                                 |          1 |        -49 |          0 |        -12 |        -61 |
| ..\youtube_player_flutter\example\android\app\src                                                                                                     |          7 |        -75 |        -29 |         -9 |       -113 |
| ..\youtube_player_flutter\example\android\app\src\debug                                                                                               |          1 |         -4 |         -3 |         -1 |         -8 |
| ..\youtube_player_flutter\example\android\app\src\main                                                                                                |          5 |        -67 |        -23 |         -7 |        -97 |
| ..\youtube_player_flutter\example\android\app\src\main (Files)                                                                                        |          1 |        -29 |          0 |          0 |        -29 |
| ..\youtube_player_flutter\example\android\app\src\main\java                                                                                           |          1 |        -16 |         -5 |         -4 |        -25 |
| ..\youtube_player_flutter\example\android\app\src\main\java\io                                                                                        |          1 |        -16 |         -5 |         -4 |        -25 |
| ..\youtube_player_flutter\example\android\app\src\main\java\io\flutter                                                                                |          1 |        -16 |         -5 |         -4 |        -25 |
| ..\youtube_player_flutter\example\android\app\src\main\java\io\flutter\plugins                                                                        |          1 |        -16 |         -5 |         -4 |        -25 |
| ..\youtube_player_flutter\example\android\app\src\main\res                                                                                            |          3 |        -22 |        -18 |         -3 |        -43 |
| ..\youtube_player_flutter\example\android\app\src\main\res\drawable                                                                                   |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\youtube_player_flutter\example\android\app\src\main\res\values                                                                                     |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\youtube_player_flutter\example\android\app\src\main\res\values-v28                                                                                 |          1 |         -9 |         -2 |          0 |        -11 |
| ..\youtube_player_flutter\example\android\app\src\profile                                                                                             |          1 |         -4 |         -3 |         -1 |         -8 |
| ..\youtube_player_flutter\example\android\gradle                                                                                                      |          1 |         -5 |         -1 |         -1 |         -7 |
| ..\youtube_player_flutter\example\android\gradle\wrapper                                                                                              |          1 |         -5 |         -1 |         -1 |         -7 |
| ..\youtube_player_flutter\example\ios                                                                                                                 |         10 |       -253 |        -12 |        -24 |       -289 |
| ..\youtube_player_flutter\example\ios\Flutter                                                                                                         |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\youtube_player_flutter\example\ios\Runner                                                                                                          |          9 |       -242 |        -10 |        -23 |       -275 |
| ..\youtube_player_flutter\example\ios\Runner (Files)                                                                                                  |          4 |        -33 |         -8 |        -17 |        -58 |
| ..\youtube_player_flutter\example\ios\Runner\Assets.xcassets                                                                                          |          3 |       -148 |          0 |         -4 |       -152 |
| ..\youtube_player_flutter\example\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                       |          1 |       -122 |          0 |         -1 |       -123 |
| ..\youtube_player_flutter\example\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                     |          2 |        -26 |          0 |         -3 |        -29 |
| ..\youtube_player_flutter\example\ios\Runner\Base.lproj                                                                                               |          2 |        -61 |         -2 |         -2 |        -65 |
| ..\youtube_player_flutter\example\lib                                                                                                                 |          2 |       -489 |         -5 |        -23 |       -517 |
| ..\youtube_player_flutter\example\test                                                                                                                |          1 |          0 |          0 |         -2 |         -2 |
| ..\youtube_player_flutter\lib                                                                                                                         |         22 |     -1,944 |       -351 |       -319 |     -2,614 |
| ..\youtube_player_flutter\lib (Files)                                                                                                                 |          1 |        -13 |          0 |         -2 |        -15 |
| ..\youtube_player_flutter\lib\src                                                                                                                     |         21 |     -1,931 |       -351 |       -317 |     -2,599 |
| ..\youtube_player_flutter\lib\src\enums                                                                                                               |          5 |        -53 |        -36 |        -26 |       -115 |
| ..\youtube_player_flutter\lib\src\player                                                                                                              |          2 |       -641 |       -102 |        -65 |       -808 |
| ..\youtube_player_flutter\lib\src\utils                                                                                                               |          5 |       -377 |       -141 |        -84 |       -602 |
| ..\youtube_player_flutter\lib\src\widgets                                                                                                             |          9 |       -860 |        -72 |       -142 |     -1,074 |
| ..\youtube_player_flutter\test                                                                                                                        |          1 |       -197 |         -1 |        -19 |       -217 |
| ..\youtube_player_flutter\web_assets                                                                                                                  |          1 |       -188 |         -4 |         -3 |       -195 |
| ..\youtube_scraper                                                                                                                                    |         24 |       -759 |       -102 |       -167 |     -1,028 |
| ..\youtube_scraper (Files)                                                                                                                            |          4 |        -45 |        -17 |        -20 |        -82 |
| ..\youtube_scraper\android                                                                                                                            |          2 |        -21 |         -3 |         -4 |        -28 |
| ..\youtube_scraper\android (Files)                                                                                                                    |          1 |         -2 |          0 |          0 |         -2 |
| ..\youtube_scraper\android\app                                                                                                                        |          1 |        -19 |         -3 |         -4 |        -26 |
| ..\youtube_scraper\android\app\src                                                                                                                    |          1 |        -19 |         -3 |         -4 |        -26 |
